defined_class	defined_class_label	external	external_label
http://purl.obolibrary.org/obo/NCIT_C53395	Blood Vessel Endothelium	http://purl.obolibrary.org/obo/UBERON_0004638	blood vessel endothelium
http://purl.obolibrary.org/obo/NCIT_C13194	Blood-Brain Barrier	http://purl.obolibrary.org/obo/UBERON_0000120	blood brain barrier
http://purl.obolibrary.org/obo/NCIT_C13041	Body	http://purl.obolibrary.org/obo/UBERON_0000468	multicellular organism
http://purl.obolibrary.org/obo/NCIT_C12258	Body of Stomach	http://purl.obolibrary.org/obo/UBERON_0001161	body of stomach
http://purl.obolibrary.org/obo/NCIT_C32216	Body of the Corpus Callosum	http://purl.obolibrary.org/obo/UBERON_0015510	body of corpus callosum
http://purl.obolibrary.org/obo/NCIT_C32217	Body of the Epididymis	http://purl.obolibrary.org/obo/UBERON_0004359	corpus epididymis
http://purl.obolibrary.org/obo/NCIT_C32218	Body of the Lateral Ventricle	http://purl.obolibrary.org/obo/UBERON_0002655	body of lateral ventricle
http://purl.obolibrary.org/obo/NCIT_C12270	Body of the Pancreas	http://purl.obolibrary.org/obo/UBERON_0001150	body of pancreas
http://purl.obolibrary.org/obo/NCIT_C12366	Bone	http://purl.obolibrary.org/obo/UBERON_0001474	bone element
http://purl.obolibrary.org/obo/NCIT_C12431	Bone Marrow	http://purl.obolibrary.org/obo/UBERON_0002371	bone marrow
http://purl.obolibrary.org/obo/NCIT_C32223	Bone of the Extremity	http://purl.obolibrary.org/obo/UBERON_0002428	limb bone
http://purl.obolibrary.org/obo/NCIT_C12982	Bone of the Lower Extremity	http://purl.obolibrary.org/obo/UBERON_0003464	hindlimb bone
http://purl.obolibrary.org/obo/NCIT_C12983	Bone of the Upper Extremity	http://purl.obolibrary.org/obo/UBERON_0008962	forelimb bone
http://purl.obolibrary.org/obo/NCIT_C32224	Bone Surface	http://purl.obolibrary.org/obo/UBERON_4200230	surface of bone
http://purl.obolibrary.org/obo/NCIT_C13076	Bone Tissue	http://purl.obolibrary.org/obo/UBERON_0002481	bone tissue
http://purl.obolibrary.org/obo/NCIT_C12681	Brachial Artery	http://purl.obolibrary.org/obo/UBERON_0001398	brachial artery
http://purl.obolibrary.org/obo/NCIT_C92221	Brachial Lymph Node	http://purl.obolibrary.org/obo/UBERON_0002525	brachial lymph node
http://purl.obolibrary.org/obo/NCIT_C12682	Brachial Plexus	http://purl.obolibrary.org/obo/UBERON_0001814	brachial nerve plexus
http://purl.obolibrary.org/obo/NCIT_C12883	Brachial Vein	http://purl.obolibrary.org/obo/UBERON_0001413	brachial vein
http://purl.obolibrary.org/obo/NCIT_C53149	Brachialis	http://purl.obolibrary.org/obo/UBERON_0001506	brachialis muscle
http://purl.obolibrary.org/obo/NCIT_C32816	Brachiocephalic Vein	http://purl.obolibrary.org/obo/UBERON_0003711	brachiocephalic vein
http://purl.obolibrary.org/obo/NCIT_C12439	Brain	http://purl.obolibrary.org/obo/UBERON_0000955	brain
http://purl.obolibrary.org/obo/NCIT_C49332	Brain Dura Mater	http://purl.obolibrary.org/obo/UBERON_0002092	brain dura mater
http://purl.obolibrary.org/obo/NCIT_C49333	Brain Gray Matter	http://purl.obolibrary.org/obo/UBERON_0003528	brain gray matter
http://purl.obolibrary.org/obo/NCIT_C49346	Brain Nucleus	http://purl.obolibrary.org/obo/UBERON_0002308	nucleus of brain
http://purl.obolibrary.org/obo/NCIT_C49335	Brain Pia Mater	http://purl.obolibrary.org/obo/UBERON_0003549	brain pia mater
http://purl.obolibrary.org/obo/NCIT_C12441	Brain Stem	http://purl.obolibrary.org/obo/UBERON_0002298	brainstem
http://purl.obolibrary.org/obo/NCIT_C12356	Brain Ventricle	http://purl.obolibrary.org/obo/UBERON_0004086	brain ventricle
http://purl.obolibrary.org/obo/NCIT_C49334	Brain White Matter	http://purl.obolibrary.org/obo/UBERON_0003544	brain white matter
http://purl.obolibrary.org/obo/NCIT_C12971	Breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast
http://purl.obolibrary.org/obo/NCIT_C13257	Breast Milk	http://purl.obolibrary.org/obo/UBERON_0001913	milk
http://purl.obolibrary.org/obo/NCIT_C32230	Bronchial Artery	http://purl.obolibrary.org/obo/UBERON_0002040	bronchial artery
http://purl.obolibrary.org/obo/NCIT_C32231	Bronchial Epithelium	http://purl.obolibrary.org/obo/UBERON_0002031	epithelium of bronchus
http://purl.obolibrary.org/obo/NCIT_C32232	Bronchial Lymph Node	http://purl.obolibrary.org/obo/UBERON_0016481	bronchial lymph node
http://purl.obolibrary.org/obo/NCIT_C53031	Bronchial Vein	http://purl.obolibrary.org/obo/UBERON_0001592	bronchial vein
http://purl.obolibrary.org/obo/NCIT_C12684	Bronchiole	http://purl.obolibrary.org/obo/UBERON_0002186	bronchiole
http://purl.obolibrary.org/obo/NCIT_C48942	Bronchiole Epithelium	http://purl.obolibrary.org/obo/UBERON_0002051	epithelium of bronchiole
http://purl.obolibrary.org/obo/NCIT_C12683	Bronchus	http://purl.obolibrary.org/obo/UBERON_0002185	bronchus
http://purl.obolibrary.org/obo/NCIT_C49207	Bronchus Basal Lamina	http://purl.obolibrary.org/obo/UBERON_0004800	bronchus basal lamina
http://purl.obolibrary.org/obo/NCIT_C49208	Bronchus Basement Membrane	http://purl.obolibrary.org/obo/UBERON_0009652	bronchus basement membrane
http://purl.obolibrary.org/obo/NCIT_C49209	Bronchus Cartilage	http://purl.obolibrary.org/obo/UBERON_0001956	cartilage of bronchus
http://purl.obolibrary.org/obo/NCIT_C49210	Bronchus Connective Tissue	http://purl.obolibrary.org/obo/UBERON_0003592	bronchus connective tissue
http://purl.obolibrary.org/obo/NCIT_C49211	Bronchus Elastic Tissue	http://purl.obolibrary.org/obo/UBERON_0003616	bronchus elastic tissue
http://purl.obolibrary.org/obo/NCIT_C49212	Bronchus Lamina Propria	http://purl.obolibrary.org/obo/UBERON_0002338	lamina propria of bronchus
http://purl.obolibrary.org/obo/NCIT_C49213	Bronchus Smooth Muscle Tissue	http://purl.obolibrary.org/obo/UBERON_0004242	bronchus smooth muscle
http://purl.obolibrary.org/obo/NCIT_C49214	Bronchus Submucosa	http://purl.obolibrary.org/obo/UBERON_0001957	submucosa of bronchus
